date,btc price
2025-11-15,96971
2025-11-14,100494
2025-11-13,101442
2025-11-12,103494
2025-11-11,105334
2025-11-10,103641
2025-11-09,101640
2025-11-08,101621
2025-11-07,100995
2025-11-06,103639
2025-11-05,101292
2025-11-04,106832
2025-11-03,110196
2025-11-02,110305
2025-11-01,108886
2025-10-31,107409
2025-10-30,111158
2025-10-29,115506
2025-10-28,115527
2025-10-27,113667
2025-10-26,111418
2025-10-25,110265
2025-10-24,109969
2025-10-23,108103
2025-10-22,112562
2025-10-21,110588
2025-10-20,109192
2025-10-19,106727
2025-10-18,106644
2025-10-17,108845
2025-10-16,110392
2025-10-15,112826
2025-10-14,114684
2025-10-13,114502
2025-10-12,112143
2025-10-11,118024
2025-10-10,120275
2025-10-09,123602
2025-10-08,121550
2025-10-07,125480
2025-10-06,123257
2025-10-05,121840
2025-10-04,123057
2025-10-03,119722
2025-10-02,117451
2025-10-01,113135
2025-09-30,113713
2025-09-29,110319
2025-09-28,109382
2025-09-27,109629
2025-09-26,110464
2025-09-25,113852
2025-09-24,112653
2025-09-23,112373
2025-09-22,115414
2025-09-21,115990
2025-09-20,115858
2025-09-19,117719
2025-09-18,115705
2025-09-17,116591
2025-09-16,114865
2025-09-15,115534
2025-09-14,115324
2025-09-13,115615
2025-09-12,114480
2025-09-11,114008
2025-09-10,111058
2025-09-09,112384
2025-09-08,111130
2025-09-07,110210
2025-09-06,110698
2025-09-05,109697
2025-09-04,112386
2025-09-03,110738
2025-09-02,108602
2025-09-01,108914
2025-08-31,108875
2025-08-30,108280
2025-08-29,112274
2025-08-28,111969
2025-08-27,109810
2025-08-26,112485
2025-08-25,114433
2025-08-24,115060
2025-08-23,116756
2025-08-22,112263
2025-08-21,113932
2025-08-20,113248
2025-08-19,116386
2025-08-18,117888
2025-08-17,117764
2025-08-16,117221
2025-08-15,117694
2025-08-14,121633
2025-08-13,119778
2025-08-12,119839
2025-08-11,118621
2025-08-10,116769
2025-08-09,116435
2025-08-08,116434
2025-08-07,115185
2025-08-06,113193
2025-08-05,115507
2025-08-04,114084
2025-08-03,113314
2025-08-02,114581
2025-08-01,118186
2025-07-31,117803
2025-07-30,117832
2025-07-29,117782
2025-07-28,119015
2025-07-27,118052
2025-07-26,116203
2025-07-25,118883
2025-07-24,117497
2025-07-23,118670
2025-07-22,118012
2025-07-21,118398
2025-07-20,117958
2025-07-19,117666
2025-07-18,118863
